cov_mean,cov_sd,cov
3.913962933265023,8.07187927561948,x1
2.9507899794247523,3.9701393930863915,x2
1.7470782495496874e-16,1.0000000000000002,x3
5.081460786964366,4.748466247005911,x4
3.94127872689204,4.37771268071797,x5
2.729769375275918,5.028867592824512,x6
